0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
188896;178598;176870;149392;126096;108514;86692;52318;30014;-708;-34782;67164;97704;107980;136604;139988;150386;178818;198802;199350;213494;0
191616;181378;179664;153172;129888;112896;91120;55314;33492;688;-33316;67846;100418;112100;141286;144974;155508;183738;202876;203424;217016;0
207760;198438;193312;183230;181288;146484;123226;106846;85070;50102;-25692;15610;65030;94072;130482;141788;170994;174480;184734;213000;231152;1
204334;195334;190208;180516;178538;144418;121092;105064;83224;47970;-19296;19934;68242;96126;132972;143220;171122;174584;184538;212800;230778;1
219186;210198;205072;195488;193478;159350;136034;120284;98086;57074;25630;15546;62906;90508;126126;136434;163838;170052;179820;208038;225974;0
45438;44102;44102;41842;40806;39836;38676;26966;26522;19506;-16206;-3250;2110;5810;21698;23512;38704;40380;58428;59076;62538;1
76342;74336;74336;72102;70880;62876;58498;40990;38510;25712;17778;2354;15570;21690;40522;43138;62960;64534;84562;85210;89342;1
88538;88538;86052;84778;76758;71722;53110;50164;35196;25676;3322;21530;28044;51344;55344;76712;78764;102440;103088;107472;107506;1
109980;109980;107350;106074;97944;92866;73684;70618;51984;40390;372;23838;33656;59918;66292;88498;91656;115998;116646;122716;122750;1
116034;112920;111614;103312;98242;78898;75880;55774;43776;22;25872;36562;63890;70500;93960;97158;125750;126396;132650;132684;139490;0
133346;130192;128862;120206;115144;89444;87028;67626;55172;7152;19002;36510;65808;73150;97204;100604;129282;129928;136326;136360;143072;1
138168;136838;128058;122824;95764;93340;73832;61250;9630;-18822;37146;67450;75202;100188;103630;133208;133854;140286;140320;147096;147312;1
150880;149548;140824;135438;107640;105230;85554;72916;15688;-13738;35012;68060;77382;105044;108598;139434;140092;145480;145514;152962;153178;0
165366;159156;157824;149198;143762;113178;110782;89760;77110;21118;-8160;34402;68946;81526;109868;113602;144834;145492;151034;151068;159328;0
171716;165000;163668;154818;149240;118046;115566;92082;79202;23386;9188;37484;73634;87168;117204;120948;151722;152780;158870;158904;167190;1
173074;171742;162760;157224;125138;122572;98428;85214;25758;-7200;38884;76218;89492;120678;124388;156604;157662;163884;163918;172352;172568;1
180680;179348;170446;164980;131994;129508;102570;89308;28740;-8792;42444;81510;95288;127158;130914;163878;164936;171274;171308;179734;179950;1
194012;185150;179706;146992;144594;116284;102612;41516;3556;-37098;79408;96060;129172;133708;171248;172306;178710;178744;187184;187400;188876;1
202664;197220;166470;164046;137238;123472;57992;19224;-26804;-68670;92726;129636;135844;171888;172978;181356;181390;190300;190516;191980;192044;0
211418;205978;176272;173840;145626;132010;63716;25540;-22610;-67070;92524;135934;143184;179978;182098;192072;192112;200408;200624;202080;202144;1
223642;193178;190768;161664;148452;80264;42902;-7858;-52154;-81802;-123434;141826;182500;185048;196930;196970;205240;205456;206912;206976;210078;1
235836;205494;203132;172650;159256;93294;56916;6394;-36968;-71174;-113894;136886;178834;182404;198670;198748;207844;208060;209516;209580;212636;1
226186;223946;193334;180084;115120;78362;29796;-13224;-56018;-98072;131376;172020;175682;191698;191846;201356;201572;203026;203090;206148;206434;1
237820;207182;194040;129010;93054;46192;4198;-40584;-84530;-122086;167946;179516;197170;197544;209128;209344;211054;211118;214070;214356;214686;0
275014;241964;228996;161080;125766;73148;30822;-12372;-53128;-102694;150632;172688;190092;191484;203380;203608;206264;206328;209612;209900;210270;1
286766;254376;241744;175978;140984;89216;47014;-1384;-41576;-95582;145636;174560;194722;196132;209490;209762;212756;212820;216164;216452;216822;1
290724;257498;244866;179334;144158;93550;52598;3382;-35822;-91442;-144556;177426;199480;200964;214826;215118;218642;218766;222204;222492;222870;1
81366;59764;54618;39146;32664;15500;5476;-10772;-29550;-40450;48460;49950;58404;59014;61842;62002;65620;65908;72232;72284;74822;1
127250;104594;98760;78704;70228;47078;36576;18138;-3496;-31478;46162;56454;69778;71192;78572;79478;85732;87880;96284;96336;99470;0
154284;138128;136002;112426;106986;86904;78322;53410;42164;22088;890;31186;51186;63036;79556;81998;90266;91452;98732;100880;110826;0
171624;150798;148672;123278;117862;93620;84808;56010;44536;22892;2496;34004;57126;69772;89750;92304;101058;102666;110532;112702;123016;1
180664;159182;157046;131064;125644;99890;91054;60520;48760;26072;-4250;38876;64426;77618;100186;102978;112832;114442;122424;124592;135306;0
185326;163856;161720;133592;128162;103536;94560;64124;52168;26510;4608;39744;66512;79622;104518;107346;118078;119686;129286;131454;142206;1
179858;177716;145802;140374;115970;106810;72640;60778;29444;-1748;-39494;68134;81340;115958;119054;130816;132420;143152;145338;156404;156456;0
187262;185120;152060;146512;121360;112424;77132;65204;32230;1746;-36992;65970;79732;114182;117486;129524;130964;142262;144448;156542;156594;0
192968;190826;157076;151496;125418;116482;81810;69866;36420;4806;37066;68922;83940;119032;121820;134084;135630;147068;149254;161850;161902;1
194028;191886;157802;152226;125802;116762;82142;69454;36322;3066;39576;72634;87472;124780;127522;140196;141640;153462;155648;168182;168234;1
198794;196652;162048;156474;130080;121028;85670;72992;38696;3008;-41212;75210;90440;128326;131352;144096;145552;157314;159500;171952;172004;0
202700;200558;166214;160650;134296;125294;90550;77804;42882;5218;42206;78286;94574;133402;136816;149638;151094;162904;165090;177648;177700;1
207500;173188;167624;141516;132578;98298;85684;50100;13538;-37134;-73274;92092;131918;135366;149362;150836;162828;165014;177544;177596;181774;0
221232;186948;181392;155230;146500;110664;98144;60774;22554;-30528;69362;96006;136566;140246;155382;157348;169568;171756;184160;184212;188342;1
237620;203160;197576;170216;161302;123394;110868;73982;35756;-27218;-70494;100900;148926;153232;169500;171466;183142;185330;197696;197748;201876;0
242288;205978;200368;172850;163964;124906;112604;75336;36550;-25306;-72622;106514;155956;160050;176576;178542;190006;192194;204564;204616;208744;1
219642;214062;186402;177530;135652;123492;85094;46440;-18864;-69306;105524;156974;161256;177852;179886;191442;193630;206244;206296;211630;211730;1
234142;228658;201314;192440;149854;137756;99990;62688;-4336;-56510;-105486;157524;163318;180264;181954;193254;195442;209066;209118;214622;214722;0
274402;236326;230832;203330;194464;152396;140322;102918;65934;-490;-57046;110108;160228;165510;183926;185712;197574;199764;213428;213484;219160;1
91190;87210;70522;65738;49810;42896;21764;2526;-22226;-36438;49060;75616;77262;85848;86012;92106;92402;94916;95176;98348;98444;1
110134;106154;88556;81932;66140;58908;34118;13940;-14270;-29878;50472;80266;83394;92222;93950;101582;103306;106590;106852;110318;110414;0
151680;123438;119460;97614;90878;72230;64904;38202;16970;-10710;27876;51942;82436;86004;98112;99968;107638;109474;113094;113512;116538;0
163290;161334;132844;128870;106708;99850;81404;73788;46612;24134;8792;30158;55828;96274;101620;115676;117548;125980;127814;131398;131684;1
165162;137526;133552;111424;104554;85220;77470;49220;24806;-9344;32994;59106;100200;105868;118694;122612;132046;133960;139116;139404;142228;1
172302;144746;140772;115602;108710;87314;79314;50402;26014;-6472;33222;60006;101182;107198;121204;125220;134856;136850;144608;144896;147746;0
173554;146438;142440;116258;109344;88486;80282;51202;26136;-5986;33826;61384;104092;109774;123998;127922;137730;139740;147530;147818;150690;0
176900;174944;147916;143918;117940;110924;89228;80690;51400;25490;6418;34648;62194;104382;110496;125356;129720;140010;142110;149852;150140;0
201980;174882;172926;145746;141748;116070;109028;87304;78402;48298;22050;10744;49560;76756;119742;125406;139930;144328;154136;156236;163792;0
205818;178330;176374;147086;143088;117456;110398;88304;78288;47702;-20302;13632;53822;81488;125462;130944;145226;149732;159386;161486;168952;0
205652;205532;177026;175072;146194;142132;116602;109324;87138;75562;45244;-16420;21666;62040;89092;133028;138336;152422;156926;166526;168626;0
226584;205600;205480;176988;175034;146294;141974;116468;108976;87922;73520;-40638;-6064;28964;69820;96734;140912;146136;160196;164698;174276;1
202496;202376;173126;171172;145012;140662;116894;109194;87654;71148;34830;3296;38124;79814;105294;147190;152392;165918;170920;180604;182676;0
221694;201624;201504;172210;170254;143960;139538;115562;107544;86572;68854;-30264;8302;43356;84392;108946;150488;155560;168732;173628;183248;0
233938;233834;213996;213876;184798;182842;153416;147622;122932;113542;-80936;-55656;-20152;22470;58502;99428;123770;161684;166714;179356;184252;1
265704;265600;246040;245920;216560;214198;178768;172500;147978;128692;-74146;-38642;840;45992;81076;122628;146916;184088;189122;201578;206474;1
274298;274194;254586;254466;225076;222674;186994;180730;155740;132974;-73686;-28280;15266;62688;97822;138496;162538;199708;204588;217002;221898;1
284280;264658;264538;235154;232752;197586;190956;165032;142650;74366;-17136;28468;75624;110286;150696;174684;211832;216710;229124;234020;243400;1
298158;278536;278416;249048;246646;212184;205556;180850;160482;89976;34880;29604;77074;111802;153544;177396;214530;219308;231622;236418;245698;0
103166;103166;99034;99030;91892;91776;83048;79822;38198;28168;1038;5846;15246;24812;30078;37030;40384;48862;48862;51146;51162;1
146134;137186;137178;122508;120408;110866;107526;52618;42390;5238;15376;27668;41014;47046;56046;61748;74548;74552;80716;80732;85880;0
160910;160910;150874;150830;134748;132570;121154;117502;61498;52206;11090;12398;28636;43884;50700;62362;68220;82640;82640;91778;91794;1
182028;172968;172854;150330;147834;135494;130662;72050;62586;14210;-13998;32726;51344;58916;73114;79438;95208;95274;104352;104368;112886;0
189020;189020;178764;178608;154016;151060;137948;132936;75558;65912;15374;16432;36188;57062;65044;83706;90632;107512;107578;117672;117798;1
200662;189912;189740;164342;161404;146732;140756;79668;69688;17520;-15852;36154;59136;68956;88374;95782;113538;113604;122274;122400;132262;0
231362;219510;219338;192124;188870;167072;156722;94096;83188;23080;17832;39732;65326;76422;96674;104296;122478;122546;131196;131322;141388;0
237282;237282;224858;224684;197012;194198;171136;160268;96604;84696;-23552;17872;41170;65532;77264;97598;105714;124204;124270;132644;132770;0
245138;245138;232854;231874;202336;198904;175244;164702;101644;87378;-22092;20370;44300;71444;82934;103802;111948;130988;131054;140228;140454;1
243126;243126;230132;228728;199024;195566;173686;162146;99592;84216;-19512;25388;52704;80318;91390;112630;120678;141430;141496;151248;151474;0
256192;246570;246570;233126;231722;200326;196992;175090;163212;100726;-81196;-15032;30014;58938;86846;98196;118886;127014;147898;147966;158126;1
264806;254592;254592;239844;238438;206304;202716;178150;167786;103868;80122;-9968;38814;68056;98922;109240;130512;138606;159392;159460;169606;0
268240;257998;257998;243174;241768;210026;206304;181556;170538;103090;78436;-8624;40032;69714;101082;111472;133168;141216;162758;162826;172804;1
273516;263226;263226;248572;247206;215734;211554;185404;171778;104782;79392;-8452;43224;76112;107368;117710;138918;146636;167606;167674;177714;0
280622;269104;269104;253880;252572;220202;215250;189040;175624;107154;-79856;-5634;52886;84950;116178;126530;147562;155280;176704;176772;187358;0
277100;277084;265566;265566;250384;249076;216066;211078;184348;170894;102626;-68860;7066;65262;98690;129764;140052;160766;168454;189960;190028;0
288988;288972;276278;276278;255158;253864;219798;214784;182418;167076;-90582;-48820;26494;83070;115324;145738;156052;174328;181988;203304;203372;0
285026;279460;279444;267242;267242;247018;245720;210698;204398;170630;150676;-88508;-30278;45962;102012;133414;163960;174910;192832;201090;223444;1
289360;289344;276836;276836;256064;254728;219532;213014;178732;157448;-83820;-19254;56866;113642;143764;174220;184792;202732;210936;233558;233626;1
304642;304626;292084;292084;271822;270488;234002;227426;192934;170592;87476;-22530;54920;112738;142578;173104;183656;201724;209928;232442;232510;1
306962;294402;294402;274260;272732;237834;231182;196414;176178;93404;-22244;55784;114388;144106;173950;184450;203230;211434;234408;234476;245278;1
314140;301088;301088;280088;278564;243096;236480;199538;178316;98962;24716;58842;114792;146780;176992;187806;209870;218078;246026;246094;256966;0
122718;115318;115318;88238;88214;72612;72384;50646;46352;33498;21156;192;11702;23802;34140;38516;48276;51578;67328;67348;73622;1
137912;137912;108694;107958;87566;87060;62910;56848;39262;20700;5578;23540;36958;50054;55786;68848;73248;90878;90898;97282;97282;0
160310;152684;152684;121956;121220;98956;97726;70626;64304;44016;23370;6426;26916;41230;56890;63260;76634;81034;100324;100344;107032;0
174298;166614;166614;134308;133450;107406;105914;75688;69272;48030;-25648;8694;34722;50064;67446;73472;90310;94724;120230;120250;126910;1
189978;181122;181122;148072;147168;119672;116234;81648;73970;51780;-27998;10298;40016;55956;74432;80010;96958;101372;128084;128104;134332;0
207946;196954;196954;160670;159766;130296;126294;90772;81190;54538;-27546;19976;60162;76250;95006;100590;117800;122214;149056;149076;154582;0
223462;223446;211074;211074;169728;168628;137544;131552;93884;83436;55446;-20966;32416;82216;100320;119780;125366;140366;144690;166832;166852;0
239386;233330;233314;218854;218854;175348;173900;137994;131442;92494;81414;-51088;-12034;41440;94148;111364;130208;135236;150490;154804;177076;0
242400;234640;234624;218626;218596;173644;172008;134034;127596;88950;-70656;-39006;5778;59290;111078;126888;146672;151684;166676;171012;193136;1
248586;240600;240584;223598;223562;175576;173152;134240;125746;87184;-65664;-34860;16538;71000;125238;141022;161968;167034;181728;186064;209956;1
246508;246492;229066;229032;180970;178474;138336;130794;89794;65758;-30004;21382;75206;130424;146294;168502;173576;188492;192828;216800;216820;0
269586;261024;261008;243828;243794;196028;193690;146800;138628;93220;68668;-30270;22914;78128;136470;152444;175442;180514;195646;199982;224574;0
270756;262442;262426;244882;244838;196748;194386;147988;139566;92674;68972;-28666;28858;85046;141918;157686;180852;185924;201810;206146;230700;0
278120;278120;269406;269390;250922;250874;201618;198798;149850;140728;92456;-63952;-20488;41838;100448;158336;174606;202242;207298;228582;232918;1
286084;286084;274612;274596;256050;255998;205402;202098;151994;141746;92066;-59624;-15978;49550;109750;167744;183658;211850;217080;238800;243136;1
293176;293176;281416;281400;262112;262056;210714;207434;156114;144778;92956;-57832;-11450;54778;115578;178346;194206;224050;229284;251412;255748;0
302940;302940;292054;292038;272316;272264;220608;217174;160804;148884;-94066;-51130;-92;67164;127326;190610;206458;236432;241846;264122;268458;1
302996;302996;292670;292654;273412;273360;221162;217236;160706;148930;92826;-46840;6012;72440;130224;191454;207342;235824;241238;263514;267850;1
297602;287512;287496;267568;267516;216512;212540;158786;142738;85702;-38170;15342;82344;138350;197288;213420;239114;245532;260938;265274;289194;0
314190;314190;304412;304396;284644;284592;230962;226854;166222;152674;89872;-33610;28020;97350;153066;210834;226814;251732;258234;273126;277462;1
339746;339746;329664;329648;309770;309722;248394;244018;178802;156758;84968;-24204;39430;109652;165378;221568;237502;262662;269164;284026;288362;0
343934;343934;333830;333814;313480;313416;247348;242336;173388;155452;-86496;-18976;41540;111718;167356;225568;242796;268060;274558;289636;293972;1
346732;346732;336380;336364;315938;315874;249414;243902;176078;157992;84570;-7068;53580;121124;176324;234664;252484;277802;284300;299362;303698;0
201188;201188;194256;194256;178750;178686;132086;131186;80834;75904;-42912;-20102;-3542;18518;37794;55228;62660;78558;82940;92910;96216;0
225740;222376;222376;215406;215406;193958;192278;142912;137384;83996;74956;-36294;-10138;7988;35448;55732;74884;82316;99048;103430;113674;0
233214;229286;229286;222064;222064;200088;197890;147046;140070;85862;-74690;-33432;-4556;14040;47082;67592;87012;94520;111384;115764;125838;1
248046;243886;243886;236236;236200;214148;210648;157084;145614;85816;-68738;-27466;2444;23950;58278;78616;99572;107086;125006;129364;139332;0
268552;262374;262374;256100;256100;246000;245908;222644;217564;161868;149850;-81330;-58538;-14046;15560;37178;75536;95782;116970;124500;141948;0
288036;288036;281390;281390;273532;273514;261880;260004;231138;222796;-157412;-128926;-62488;-29302;24072;53732;74532;106658;126528;147330;155092;1
296256;286764;286764;278546;278460;266550;264352;234378;224590;158046;123654;-55666;-24920;30872;61430;83684;115682;135370;156560;164322;180704;1
301198;291790;291790;283540;283456;271404;269238;236598;227556;160004;124294;-54080;-21868;36152;68680;90852;123960;143648;164834;172610;189028;1
300104;291438;291354;279082;276812;245722;237238;168478;130486;60630;23748;36914;68600;90648;119482;139580;160864;168624;185084;189442;197892;1
298118;298032;284646;283150;253336;245140;173916;136900;64694;26530;-34532;63016;85932;114924;135714;156392;164336;180206;184564;192930;196236;0
307658;307572;294452;293066;263990;256154;183934;146780;71506;30730;-32238;64056;89802;120808;141484;161772;169854;185894;191264;199576;203298;0
331118;322348;322256;309316;307930;279330;272254;201196;163252;87936;-42984;28430;69472;99544;132784;156864;177226;185490;202220;208822;217698;0
338564;338564;329928;329818;317026;315650;286934;277722;209472;169922;91900;-40350;38108;82388;114796;150388;178534;198996;207266;224206;230844;1
341216;332562;332452;319928;318610;290016;280372;210362;171436;92316;42700;42298;93300;126892;163966;191916;213052;221296;238652;245284;255302;0
344446;335792;335682;323372;322108;293264;283766;212940;174042;93598;-41084;42812;94386;129498;166864;194800;217056;225194;243374;251206;263812;0
348078;348078;338448;338338;325230;323922;295050;285616;215418;174898;93724;-38202;45478;98298;132750;167130;194998;217212;225356;243318;251144;1
347452;338060;337950;325660;324184;295168;285920;214194;173874;91196;-37810;47870;101664;134682;169016;196946;219216;227360;245180;253002;265784;1
353740;344348;344238;332248;330588;301458;292068;218790;178534;93402;-41176;50388;102250;134522;171856;199666;221698;229840;247820;255642;268228;1
359302;349910;349800;337862;336202;305524;295932;221684;182156;95516;39980;53978;103632;136752;178438;206092;227740;235882;253862;261684;274270;0
356158;346766;346656;334818;333160;302936;292854;219758;181096;96928;-36620;56820;105634;139776;181582;209424;230996;239634;257198;265020;277606;1
107004;92988;92982;79118;78866;63206;60356;40118;37308;18890;-322;19374;36404;40054;57600;58532;74428;74456;91332;91332;94642;1
122090;122084;106262;105980;86818;81402;55842;52080;30270;5418;-28104;50504;58444;78516;80522;100462;100986;120226;120230;124406;124406;0
139698;139692;123916;123494;102192;93336;67112;62842;40348;13478;28722;59382;68900;91498;95120;117970;118830;139376;139376;144176;144176;0
149920;149914;132024;131590;109738;100430;73014;68506;43404;14570;28458;60050;71884;96298;100688;123308;124248;145542;145542;153446;153446;0
176506;160884;160878;142192;141676;120608;107600;76994;71638;44708;14940;29684;63792;76864;101916;107176;130358;131476;152546;152546;160536;0
195678;195220;178538;178168;159276;158714;135334;119436;85502;73396;40336;-7840;34244;72288;86854;114736;120456;146858;148272;169156;169156;0
197110;196620;179722;179352;161206;160650;136920;120764;86030;72902;-39364;-2126;41260;80912;97846;126500;132328;159684;161112;182164;182164;0
207420;206930;188414;188044;166654;165900;141246;125570;87884;69304;-36074;8622;53160;99694;116894;148512;154332;188498;189968;211216;211228;1
213994;213504;194718;194346;172544;171764;147232;130044;88430;69556;36178;9064;53042;101586;122902;155900;161798;196562;198032;217924;217936;0
222484;221994;203462;203090;181264;180274;155704;135724;91386;72330;-36566;11180;56482;105816;129410;164130;170124;204754;206156;225870;225882;1
227102;226612;207932;207560;185564;184578;159250;138940;93252;73032;36746;11846;57856;108406;132888;174700;180696;215188;216588;236662;236678;0
